category,axis,scoreType,majorCategory,majorCategoryOrder,minorCategory,minorCategoryOrder,title,description,weight,displayOrder,evidenceRequired,isActive,inputScope
IT_SKILL,SELF_GROWTH,CONTINUOUS_DONE,初期設定,1,院卒,10,大卒者ポイント,大卒者にベース金額加算するもの,10,1,FALSE,TRUE,MANAGER
IT_SKILL,SELF_GROWTH,CONTINUOUS_DONE,初期設定,1,院卒,20,院卒者ポイント,院卒者にベース金額加算するもの,20,2,FALSE,TRUE,MANAGER
IT_SKILL,SELF_GROWTH,LEVEL_2,必須: 基礎理解,10,業務理解,10,担当業務の目的と全体の流れを理解し 作業の意味を説明できる,自分の作業だけでなく 前後工程や利用者視点まで含めて理解しているかを見る,1,10,FALSE,TRUE,BOTH
IT_SKILL,SELF_GROWTH,LEVEL_2,必須: 基礎理解,10,技術理解,20,使用技術や業務知識の基礎を理解し 自分で調べながら作業に入れる,基本知識を持ち 分からないことを自力で調べて前進できるかを見る,1,20,FALSE,TRUE,BOTH
IT_SKILL,SELF_GROWTH,LEVEL_2,必須: 基礎理解,10,システム理解,30,既存システムの構成や前提条件を理解し 安全に作業へ入れる,システム全体像や制約を踏まえて行動できるかを見る,1,30,FALSE,TRUE,BOTH
IT_SKILL,SELF_GROWTH,LEVEL_2,必須: 基礎理解,10,前提確認,40,作業前に必要な前提や制約を確認し 抜け漏れなく着手できる,着手前に確認すべきことを整理できているかを見る,1,40,FALSE,TRUE,BOTH
IT_SKILL,SELF_GROWTH,LEVEL_2,必須: 基礎理解,10,情報収集,50,分からないことを整理し 必要な情報を自力で集められる,不明点を放置せず 必要情報を集めて前進できるかを見る,1,50,FALSE,TRUE,BOTH
IT_SKILL,SELF_GROWTH,LEVEL_2,必須: 実装,20,基本実装,10,設計意図を踏まえて 読みやすく保守しやすいコードを実装できる,命名 構造 責務分離を意識した実装ができているかを見る,1,60,FALSE,TRUE,BOTH
IT_SKILL,SELF_GROWTH,LEVEL_2,必須: 実装,20,命名整理,20,命名や責務を整理し 他者が理解しやすい形で実装できる,コードを読む人に配慮した表現ができるかを見る,1,70,FALSE,TRUE,BOTH
IT_SKILL,SELF_GROWTH,LEVEL_2,必須: 実装,20,異常系対応,30,正常系だけでなく異常系や例外も考慮して実装できる,エラー時の影響や安全な振る舞いまで考えられているかを見る,1,80,FALSE,TRUE,BOTH
IT_SKILL,SELF_GROWTH,LEVEL_2,必須: 実装,20,修正対応,40,既存処理への影響を確認しながら 安全に改修を進められる,部分修正でも周辺影響を見て行動できるかを見る,1,90,FALSE,TRUE,BOTH
IT_SKILL,SELF_GROWTH,LEVEL_2,必須: 実装,20,完了品質,50,実装後に自分で見直し 完成度を高めてから提出できる,出す前に自己点検して品質を高められるかを見る,1,100,FALSE,TRUE,BOTH
IT_SKILL,SELF_GROWTH,LEVEL_2,必須: 品質,30,テスト観点,10,必要なテスト観点を洗い出し 確認すべきポイントを整理できる,何を確認すれば品質が担保できるかを考えられるかを見る,1,110,FALSE,TRUE,BOTH
IT_SKILL,SELF_GROWTH,LEVEL_2,必須: 品質,30,自己確認,20,自分の成果物を見直し 誤りや不足を見つけて修正できる,他人任せにせず自己点検で品質を上げられるかを見る,1,120,FALSE,TRUE,BOTH
