category,axis,scoreType,majorCategory,majorCategoryOrder,minorCategory,minorCategoryOrder,title,description,weight,displayOrder,evidenceRequired,isActive
IT_SKILL,SELF_GROWTH,LEVEL_2,必達: 基礎理解,10,業務理解,10,担当業務の目的と全体の流れを理解し 作業の意味を説明できる,自分の作業だけでなく 前後工程や利用者視点まで含めて理解しているかを見る,8,10,false,true
IT_SKILL,SELF_GROWTH,LEVEL_2,必達: 基礎理解,10,技術理解,20,使用技術や業務知識の基礎を理解し 自分で調べながら作業に入れる,基本知識を持ち 分からないことを自力で調べて前進できるかを見る,10,20,false,true
IT_SKILL,SELF_GROWTH,LEVEL_2,必達: 基礎理解,10,システム理解,30,既存システムの構成や前提条件を理解し 安全に作業へ入れる,システム全体像や制約を踏まえて行動できるかを見る,10,30,false,true
IT_SKILL,SELF_GROWTH,LEVEL_2,必達: 基礎理解,10,前提確認,40,作業前に必要な前提や制約を確認し 抜け漏れなく着手できる,着手前に確認すべきことを整理できているかを見る,6,40,false,true
IT_SKILL,SELF_GROWTH,LEVEL_2,必達: 基礎理解,10,情報収集,50,分からないことを整理し 必要な情報を自力で集められる,不明点を放置せず 必要情報を集めて前進できるかを見る,6,50,false,true
IT_SKILL,SELF_GROWTH,LEVEL_2,必達: 設計,20,要件整理,10,要件や仕様を整理し 実装に必要な論点を明確にできる,要件の抜け漏れや認識差を早めに見つけられるかを見る,15,60,false,true
IT_SKILL,SELF_GROWTH,LEVEL_2,必達: 設計,20,設計方針,20,実装に必要な設計方針を言語化し 関係者に共有できる,何をどう作るかを構造立てて説明できるかを見る,15,70,false,true
IT_SKILL,SELF_GROWTH,LEVEL_2,必達: 設計,20,データ設計,30,データや処理の流れを整理し 構造化して考えられる,処理のつながりを理解して整理できるかを見る,12,80,false,true
IT_SKILL,SELF_GROWTH,LEVEL_2,必達: 設計,20,保守性,40,将来の改修や保守を意識して 無理のない設計にできる,目先だけでなく 継続運用も見据えられているかを見る,12,90,false,true
IT_SKILL,SELF_GROWTH,LEVEL_2,必達: 設計,20,影響確認,50,設計変更による周辺影響を確認し 必要な考慮を加えられる,自分の変更が他へ与える影響を把握できるかを見る,10,100,false,true
IT_SKILL,SELF_GROWTH,LEVEL_2,必達: 実装,30,基本実装,10,設計意図を踏まえて 読みやすく保守しやすいコードを実装できる,命名 構造 責務分離を意識した実装ができているかを見る,18,110,false,true
IT_SKILL,SELF_GROWTH,LEVEL_2,必達: 実装,30,命名整理,20,命名や責務を整理し 他者が理解しやすい形で実装できる,コードを読む人に配慮した表現ができるかを見る,8,120,false,true
IT_SKILL,SELF_GROWTH,LEVEL_2,必達: 実装,30,異常系対応,30,正常系だけでなく異常系や例外も考慮して実装できる,エラー時の影響や安全な振る舞いまで考えられているかを見る,15,130,false,true
IT_SKILL,SELF_GROWTH,LEVEL_2,必達: 実装,30,修正対応,40,既存処理への影響を確認しながら 安全に改修を進められる,部分修正でも周辺影響を見て行動できるかを見る,15,140,false,true
IT_SKILL,SELF_GROWTH,LEVEL_2,必達: 実装,30,完了品質,50,実装後に自分で見直し 完成度を高めてから提出できる,出す前に自己点検して品質を高められるかを見る,8,150,false,true
IT_SKILL,SELF_GROWTH,LEVEL_2,必達: 品質,40,テスト観点,10,必要なテスト観点を洗い出し 確認すべきポイントを整理できる,何を確認すれば品質が担保できるかを考えられるかを見る,12,160,false,true
IT_SKILL,SELF_GROWTH,LEVEL_2,必達: 品質,40,自己確認,20,自分の成果物を見直し 誤りや不足を見つけて修正できる,他人任せにせず自己点検で品質を上げられるかを見る,10,170,false,true
IT_SKILL,SELF_GROWTH,LEVEL_2,必達: 品質,40,再発防止,30,発生した不具合の原因を整理し 再発防止を考えられる,対処だけで終わらず 次に活かせるかを見る,12,180,false,true
IT_SKILL,SELF_GROWTH,LEVEL_2,必達: 品質,40,レビュー活用,40,指摘を受けた内容を理解し 次の成果物へ反映できる,指摘を成長や品質向上へつなげられるかを見る,8,190,false,true
IT_SKILL,SELF_GROWTH,LEVEL_2,必達: 品質,40,完成責任,50,品質を他人任せにせず 自分の成果物に責任を持てる,自分の仕事の品質を最後まで担保する姿勢を見る,8,200,false,true
IT_SKILL,SELF_GROWTH,LEVEL_2,必達: 運用保守,50,問い合わせ対応,10,問い合わせや障害の状況を整理し 一次切り分けができる,状況整理と原因仮説を持って対応できるかを見る,10,210,false,true
