カテゴリ,軸,採点方式,大分類,大分類順,小分類,小分類順,項目名,説明,重み,表示順,根拠必須,使用
自律成長力,自律成長力,1 / 2 評価,必須: 基礎理解,10,業務理解,10,担当業務の目的と全体の流れを理解し 作業の意味を説明できる,自分の作業だけでなく 前後工程や利用者視点まで含めて理解しているかを見る,1,10,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 基礎理解,10,技術理解,20,使用技術や業務知識の基礎を理解し 自分で調べながら作業に入れる,基本知識を持ち 分からないことを自力で調べて前進できるかを見る,1,20,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 基礎理解,10,システム理解,30,既存システムの構成や前提条件を理解し 安全に作業へ入れる,システム全体像や制約を踏まえて行動できるかを見る,1,30,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 基礎理解,10,前提確認,40,作業前に必要な前提や制約を確認し 抜け漏れなく着手できる,着手前に確認すべきことを整理できているかを見る,1,40,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 基礎理解,10,情報収集,50,分からないことを整理し 必要な情報を自力で集められる,不明点を放置せず 必要情報を集めて前進できるかを見る,1,50,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 設計,20,要件整理,10,要件や仕様を整理し 実装に必要な論点を明確にできる,要件の抜け漏れや認識差を早めに見つけられるかを見る,1,60,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 設計,20,設計方針,20,実装に必要な設計方針を言語化し 関係者に共有できる,何をどう作るかを構造立てて説明できるかを見る,1,70,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 設計,20,データ設計,30,データや処理の流れを整理し 構造化して考えられる,処理のつながりを理解して整理できるかを見る,1,80,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 設計,20,保守性,40,将来の改修や保守を意識して 無理のない設計にできる,目先だけでなく 継続運用も見据えられているかを見る,1,90,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 設計,20,影響確認,50,設計変更による周辺影響を確認し 必要な考慮を加えられる,自分の変更が他へ与える影響を把握できるかを見る,1,100,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 実装,30,基本実装,10,設計意図を踏まえて 読みやすく保守しやすいコードを実装できる,命名 構造 責務分離を意識した実装ができているかを見る,1,110,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 実装,30,命名整理,20,命名や責務を整理し 他者が理解しやすい形で実装できる,コードを読む人に配慮した表現ができるかを見る,1,120,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 実装,30,異常系対応,30,正常系だけでなく異常系や例外も考慮して実装できる,エラー時の影響や安全な振る舞いまで考えられているかを見る,1,130,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 実装,30,修正対応,40,既存処理への影響を確認しながら 安全に改修を進められる,部分修正でも周辺影響を見て行動できるかを見る,1,140,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 実装,30,完了品質,50,実装後に自分で見直し 完成度を高めてから提出できる,出す前に自己点検して品質を高められるかを見る,1,150,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 品質,40,テスト観点,10,必要なテスト観点を洗い出し 確認すべきポイントを整理できる,何を確認すれば品質が担保できるかを考えられるかを見る,1,160,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 品質,40,自己確認,20,自分の成果物を見直し 誤りや不足を見つけて修正できる,他人任せにせず自己点検で品質を上げられるかを見る,1,170,いいえ,有効
